reviewer,review
Outdoor Enthusiast,"A bag helps with carrying the Outland Firebowl, keeps the car clean, and holds all content inside. It also helps protect the Firebowl against the environmental effects (dirt, moisture, etc.) The bag fits the 863 Cypress / 864 Costco version perfectly. The material was pleasantly well-made, and the front, zippered pouch is generously large. It is a lot better than the DnxHone-made one I previously bought for the 893 Deluxe. Priced much lower at $25 vs $36 for the official bag. The official bag is better-padded."
Outdoor Enthusiast,"A bit over 3 years ago, I purchased the 50' Forever Steel Hose after seeing an infomercial for it and seeing it available on Amazon as a Lightning Deal. I was tired of hoses always leaking over time, and the Steel Hose actually became my best one I had purchased. They are PRICEY, but they are extremely sturdy and do not kink. It also was quite lightweight and really strong. My parents got a big backyard and the 30' would be long enough. Decided to give this brand a try. It actually looks and works the same as the Forever Steel one but at a slightly lower price. Either brand works great. I have several different brand metal hoses at my own home and have not had to replace them in... 6-8 years."
Outdoor Enthusiast,"After having tried the Blackberry Bellini and finding myself liking it (I'm not a fan of fruity tea) because of its predominantly pineapple/lemon flavor, I tried this Pineapple Sangria next. Was it good? Surprisingly... yes. Per the instructions, white tea should be seeped at 175F for 3-5 mins. That is quite an aggressive temperature, but well, I am not an expert with white tea and went with it. This tea, too, had a pineapple/rosy flavor profile and well, as I had said before, I actually liked it. My wife, on the other hand -- she LOVES it."
Ronny Acosta,"After overplucking and waxing, I bought this to help me figure out what looks good and where my eyebrows should be. The amount and variety of eyebrow stencils may seem like a lot but I am thankful because it allowed me to figure out which shape looks great on me. When it came to choosing one, I had it narrowed down to 4 and from there, I just took an eyebrow pencil and ""colored"" in my eyebrows. If I didn't like it, I just washed it off and started all over again. I was then able to narrow it down to 2 and had one on each eyebrow. The shaping wax really does make my eyebrows pop and with the help of the stencil, my eyebrows really do shape my eyes. The shaver that comes with this kit is sharp and really does help shave off those small hairs that I can never pluck or wax off. While my hair is still growing out, using this stencil every day doesn't add more time when it comes to getting ready. It actually helps cut my time since I'm not having to constantly do my eyebrows over and over again. I should also mention, the elastic strap that comes with this, really does help keep the stencil in place and fits anyone. Even my daughter has started using these and they have helped her too. Whether you're a beginner or do eyebrows daily, these stencils really do help when it comes to shaping. Plus you're able to actually see if that shape looks good on you or not."
Ronny Acosta,"After using this during a very cold hiking trip, this thing not only kept my hands warm but lasted throughout our whole hiking trip with some battery left over. This fits in really any pocket, whether it was my sweater, jacket or even my pants. I at first thought it was going to be too warm or possibly burn my skin but I'm able to easily choose the heat setting. The lowest setting was a great way for me to slowly get used to having the heat in my pocket but I mainly kept it on the second setting as this not only kept my hands warm but even while in my pocket, it helped to keep my body warm. The highest setting wasn't too hot but was a bit too warm for where I was at. However, I can see that setting coming in handy for the snow. Really easy to use and really does keep you warm and toasty."
Outdoor Enthusiast,"Along with a stretchable band, I use twist ties to hold plants together -- like tomato vines and flowers (such as Orchids). Cutting the wires with the built-in clipper is easy, but the big issue with all of these is that they tend to unravel and become a pain to keep contained in the original packaging."
Outdoor Enthusiast,"Although I like BBQ sauces that are just sweet or just spicy, I especially enjoy them combined! This brand tastes pretty good and sells for a good price. However, it is not as good as Sweet Baby Ray's or Stubb's. Nonetheless, it is really good on baked or grilled chicken breasts, chicken tenders, and ribs. The heat it packs is a good kick."
Outdoor Enthusiast,"Amazon Basics brand tries to produce products that are similar to name-brand ones but at a lower price. They sometimes may even use the same supplier as sellers purportedly have to disclose their sources to be able to sell on Amazon. With that said, this scraper works as expected and made tile, vinyl, and glue removable easy. It feels decent and solid in the hands and provides a good grip. The last part is important as you do not want to slip while scraping something -- I had nearly cut my finger off before while removing some sharp items and slipped because I was not paying attention."
Outdoor Enthusiast,"AmazonBasics is Amazon's own brand that aims to sell popular items at a lower price with similar quality. This hacksaw unexpectedly worked better than I expected. It felt hefty and solid, blade changed easily, and it was very rigid where I did not feel like an accident could happen. The blade itself, however, was slightly misaligned, but after a few adjustments, it worked fine. I bought myself better replacement blades than what came with this product. The hacksaw frame itself is good."
Outdoor Enthusiast,"AmazonBasics tries to produce alternatives to brand names at a slightly lower price. It is an Amazon-owned brand. This recycle bin is no exception as it feels very strong and sturdy and is virtually indistinguishable from another commercial name my parents use at their donut shop. With that said, I wanted a tall, narrow recycle bin for use at our home to fit a tight space. It does just that. Generous amount of storage capacity to hold all of our weekly recyclables (mail, plastics, cardboard) before getting emptied out into our house recycle bin."
